asset,row,tf,tp,conf,rr,sess,pf,win,trades_wk,c5374,c12654,cMNQ,is_pass,oos_pass,oos_days,risk,capped
6J,11997,5min,reversal_to_open,reversal_cross_back,1.5,03:00-14:00,4.67,66.9,8.5,0.18,0.05,-0.03,100.0,94.4,23,500,57.8
6J,3523,5min,reversal_to_open,close_beyond,2.5,03:00-12:30,4.64,56.0,4.8,0.1,0.05,-0.04,100.0,99.2,19,500,88.7
6J,6653,5min,opposite_level,reversal_cross_back,1.25,03:00-10:30,4.19,58.3,3.9,0.02,-0.0,-0.03,100.0,92.0,23,750,92.9
6J,9258,5min,opposite_level,reversal_cross_back,2.0,03:00-14:00,5.41,75.7,3.9,0.13,0.1,-0.03,100.0,97.6,24,500,43.2
6J,1053,5min,opposite_level,reversal_cross_back,2.0,03:00-15:00,4.67,69.7,7.9,0.08,0.03,-0.05,99.5,98.4,16,500,59.6
6J,7571,5min,reversal_to_open,reversal_cross_back,2.0,03:00-14:00,5.39,69.7,7.8,0.18,0.07,-0.02,99.5,96.8,17,750,86.8
6J,8552,5min,reversal_to_open,reversal_cross_back,1.25,03:00-13:00,3.96,65.0,9.8,0.15,0.05,-0.03,99.5,95.2,19,500,58.3
6J,13733,5min,opposite_level,break_of_structure,2.5,03:00-13:00,5.1,71.1,3.9,0.08,0.13,-0.01,100.0,97.6,22,500,49.3
6J,17903,5min,opposite_level,close_beyond,4.0,03:00-11:30,4.8,51.4,8.7,0.11,0.08,-0.0,99.5,96.0,16,500,91.5
6J,14955,5min,reversal_to_open,reversal_cross_back,2.0,03:00-11:00,4.07,66.3,10.4,0.13,0.1,-0.02,99.5,89.6,19,500,50.7
6J,18167,3min,opposite_level,reversal_cross_back,1.0,03:00-12:30,3.58,54.4,6.6,0.05,0.08,-0.04,99.5,93.6,18,750,93.8
6J,9981,5min,opposite_level,reversal_cross_back,2.0,03:00-13:00,4.77,64.3,8.8,0.07,0.05,-0.04,98.9,99.2,12,750,85.1
6J,7271,5min,reversal_to_open,reversal_cross_back,1.5,03:00-14:00,4.42,64.8,9.8,0.16,0.05,-0.01,98.9,98.4,16,500,65.3
6J,10232,5min,opposite_level,immediate_break,1.5,03:00-11:30,5.05,54.1,7.9,0.03,0.03,-0.03,98.9,94.4,16,500,91.1
6J,10644,5min,opposite_level,immediate_break,1.5,03:00-13:00,5.0,58.4,3.9,0.05,0.1,-0.03,98.9,97.6,19,500,82.4
6J,20474,3min,opposite_level,break_of_structure,3.0,03:00-11:00,5.39,71.4,3.7,0.04,0.08,-0.02,100.0,96.8,22,500,48.0
6J,9964,5min,opposite_level,reversal_cross_back,3.0,03:00-15:00,4.91,67.7,3.9,0.06,0.08,-0.06,98.9,93.6,24,500,63.4
6J,11621,3min,reversal_to_open,reversal_cross_back,2.5,03:00-10:30,3.81,59.9,8.9,0.14,0.06,-0.03,98.9,96.8,17,500,82.2
6J,18113,3min,reversal_to_open,reversal_cross_back,1.5,03:00-14:00,3.78,55.9,8.6,0.11,0.08,-0.04,98.9,96.0,17,500,84.7
