asset,tf,local_rank,score,min_pf,n_trades,gate2_verdict,pf_is,pf_oos,degradation,plateau_verdict,plateau_frac_healthy,n_cohorts,overall_pass_pct,overall_fail_pct,worst_window_pass_pct,worst_window_start,worst_window_n,fail_reasons,note
GBPUSD,5min,7,47.8897,7.351,674,PASS,5.947,6.781,1.169,PASS,1.0,313,88.2,11.8,73.3,2026-05-11,15,{'daily_loss': 37},
GER40,1min,0,45.9347,8.737,191,PASS,5.869,7.269,1.288,PASS,1.0,312,88.1,11.2,71.4,2026-05-18,14,{'daily_loss': 35},
GER40,5min,1,55.5423,7.844,1188,PASS,7.443,6.837,0.906,PASS,1.0,313,85.3,14.4,69.6,2026-03-16,23,{'daily_loss': 45},
EURUSD,5min,5,49.2223,8.185,408,PASS,5.715,12.413,2.421,PASS,1.0,313,83.1,16.6,69.2,2026-05-25,13,{'daily_loss': 52},
EURUSD,3min,0,53.2635,8.579,496,PASS,4.799,6.515,1.452,PASS,1.0,313,83.7,16.0,62.5,2026-06-29,8,"{'daily_loss': 39, 'max_loss': 11}",
GBPUSD,5min,5,49.6899,6.778,1526,PASS,6.091,6.228,1.027,PASS,1.0,313,79.2,20.8,60.0,2026-05-11,15,{'daily_loss': 65},
SPX500,5min,3,43.2072,7.008,475,PASS,5.536,5.652,1.026,PASS,1.0,314,85.7,14.0,55.6,2026-05-11,9,"{'daily_loss': 37, 'max_loss': 7}",
GBPUSD,3min,9,41.1978,6.516,556,PASS,7.078,7.759,1.112,PASS,1.0,313,78.6,21.1,53.3,2026-05-11,15,{'daily_loss': 66},
US30,5min,0,49.6974,6.776,1531,PASS,4.751,6.201,1.387,PASS,1.0,313,61.0,39.0,42.9,2026-05-18,14,{'daily_loss': 122},
GER40,5min,3,54.6531,7.851,1054,PASS,5.619,6.527,1.197,PASS,1.0,313,62.3,37.7,37.5,2026-06-29,8,{'daily_loss': 118},
GER40,3min,9,47.7964,6.735,1207,PASS,4.663,5.221,1.152,PASS,1.0,313,59.1,40.9,33.3,2026-06-22,9,{'daily_loss': 128},
US30,3min,4,42.4745,5.983,1210,PASS,3.364,4.542,1.498,PASS,1.0,313,44.1,55.9,26.3,2026-04-13,19,{'daily_loss': 175},
AAPL,1min,0,46.3566,10.875,70,FAIL,0.192,0.206,,FAIL,0.0,314,41.7,57.6,0.0,2022-10-10,53,{'daily_loss': 181},
