size,assets,labels,avg_pairwise_corr,risk_multiplier_k,pass_pct,still_going_pct,median_days_to_pass,n_cohorts,per_asset_risk_pct,margin_cap_frac,n_trades_total,n_trades_rejected,pct_trades_rejected
2,GER40+NDX100,NDX100/3min ss=180 (local_rank=0) | GER40/1min ss=420 (local_rank=6),0.01,0.1407,48.9,0.6,18,313,"{'NDX100': 4.593, 'GER40': 2.174}",0.8,2482,919,37.0
2,EURUSD+NDX100,EURUSD/3min ss=180 (local_rank=5) | NDX100/5min ss=300 (local_rank=5),0.013,0.1495,49.8,0.0,15,313,"{'EURUSD': 2.367, 'NDX100': 4.317}",0.8,3672,1935,52.7
2,EURUSD+GER40,EURUSD/3min ss=180 (local_rank=5) | GER40/1min ss=300 (local_rank=5),0.006,0.2418,49.8,1.0,22,313,"{'EURUSD': 3.829, 'GER40': 4.248}",0.8,4039,3005,74.4
2,EURUSD+SPX500,EURUSD/3min ss=180 (local_rank=5) | SPX500/3min ss=180 (local_rank=6),0.041,0.2877,47.0,6.3,38,319,"{'EURUSD': 4.556, 'SPX500': 4.232}",0.8,4031,3462,85.9
2,EURUSD+GBPUSD,EURUSD/3min ss=180 (local_rank=5) | GBPUSD/3min ss=180 (local_rank=7),0.104,0.2574,48.1,0.6,22,312,"{'EURUSD': 4.077, 'GBPUSD': 4.537}",0.8,4127,3214,77.9
2,EURUSD+US30,EURUSD/3min ss=180 (local_rank=5) | US30/5min ss=180 (local_rank=4),0.028,0.1432,47.6,0.3,15,313,"{'EURUSD': 2.267, 'US30': 2.728}",0.8,5970,3947,66.1
2,EURUSD+US30,EURUSD/3min ss=180 (local_rank=5) | US30/5min ss=180 (local_rank=4),0.028,0.2081,51.8,0.6,22,313,"{'EURUSD': 3.295, 'US30': 3.965}",0.8,5970,4725,79.1
2,EURUSD+US30,EURUSD/3min ss=180 (local_rank=5) | US30/5min ss=180 (local_rank=4),0.028,0.2469,49.2,1.6,25,313,"{'EURUSD': 3.91, 'US30': 4.704}",0.8,5970,5015,84.0
2,EURUSD+EURUSD,EURUSD/3min ss=180 (local_rank=5) | EURUSD/5min ss=300 (local_rank=6),-0.014,0.1503,47.3,0.3,15,313,{'EURUSD': 7.883},0.8,6623,4500,67.9
2,EURUSD+EURUSD,EURUSD/3min ss=180 (local_rank=5) | EURUSD/5min ss=300 (local_rank=6),-0.014,0.1724,51.3,1.0,16,312,{'EURUSD': 9.043},0.8,6623,4847,73.2
2,EURUSD+EURUSD,EURUSD/3min ss=180 (local_rank=5) | EURUSD/5min ss=300 (local_rank=6),-0.014,0.2858,51.0,6.4,37,312,{'EURUSD': 14.992},0.8,6623,5925,89.5
2,EURUSD+US30,EURUSD/3min ss=180 (local_rank=5) | US30/5min ss=420 (local_rank=9),-0.043,0.1435,47.3,0.3,12,313,"{'EURUSD': 2.272, 'US30': 2.723}",0.8,5336,3115,58.4
2,EURUSD+US30,EURUSD/3min ss=180 (local_rank=5) | US30/5min ss=420 (local_rank=9),-0.043,0.1778,47.6,1.0,16,313,"{'EURUSD': 2.816, 'US30': 3.374}",0.8,5336,3597,67.4
2,EURUSD+US30,EURUSD/3min ss=180 (local_rank=5) | US30/5min ss=420 (local_rank=9),-0.043,0.2484,50.2,1.0,24,313,"{'EURUSD': 3.933, 'US30': 4.713}",0.8,5336,4272,80.1
2,EURUSD+XAUUSD,EURUSD/3min ss=180 (local_rank=5) | XAUUSD/5min ss=180 (local_rank=6),0.092,0.1458,48.9,0.0,12,313,"{'EURUSD': 2.308, 'XAUUSD': 7.954}",0.8,6912,4719,68.3
2,EURUSD+XAUUSD,EURUSD/3min ss=180 (local_rank=5) | XAUUSD/5min ss=180 (local_rank=6),0.092,0.2182,47.3,0.6,18,313,"{'EURUSD': 3.456, 'XAUUSD': 11.908}",0.8,6912,5680,82.2
2,EURUSD+XAUUSD,EURUSD/3min ss=180 (local_rank=5) | XAUUSD/5min ss=180 (local_rank=6),0.092,0.2567,51.8,0.3,22,313,"{'EURUSD': 4.065, 'XAUUSD': 14.006}",0.8,6912,5985,86.6
2,EURUSD+NDX100,EURUSD/3min ss=180 (local_rank=5) | NDX100/3min ss=420 (local_rank=6),0.023,0.1084,48.9,0.3,11,313,"{'EURUSD': 1.717, 'NDX100': 1.537}",0.8,6148,2519,41.0
2,EURUSD+US30,EURUSD/3min ss=180 (local_rank=5) | US30/1min ss=300 (local_rank=3),-0.006,0.288,47.3,1.3,24,313,"{'EURUSD': 4.561, 'US30': 1.112}",0.8,4109,3036,73.9
