asset,entry_timeframe,atr_window,include_secondary_levels,include_session_levels,allow_level_rearm,confirmation_mode,close_beyond_lookback_bars,wick_atr_mult,reversal_lookback_bars,reversal_requires_close,bos_lookback_bars,bos_mode,bos_confirm_atr_mult,require_rsi_confirm,rsi_period,rsi_mode,rsi_ob,rsi_os,sl_atr_buffer_mult,sl_extend_to_next_level,sl_extend_check_atr_mult,tp_mode,rr,session_start_minutes,session_end_minutes,max_trades_per_day,skip_weekday,n_trades,win_rate_pct,profit_factor,total_r,expectancy_r,max_dd_r,eod_frac,avg_profit_factor,min_profit_factor,periods_evaluated,periods_passed,consistency,calmar,score,period_pfs
FDXM,3min,30,False,False,True,reversal_cross_back,5,1.0,20,True,5,fractal,0.1,False,7,cross_50,70,35,0.5,False,0.5,fixed_rr,3.0,300,780,5,3,1735,40.75,1.517,573.52,0.3306,30.47,0.1464,1.529,1.345,5,5,1.0,18.822,10.0328,"[1.345, 1.515, 1.358, 1.942, 1.484]"
6E,5min,14,False,True,True,close_beyond,1,1.0,3,False,5,raw_wick,0.5,False,7,cross_50,70,30,0.5,False,1.5,reversal_to_open,3.0,300,900,999,-1,8432,38.56,1.725,4822.39,0.5719,80.51,0.0502,1.727,1.622,5,5,1.0,59.898,14.6627,"[1.622, 1.791, 1.767, 1.827, 1.629]"
MNQ,5min,20,False,True,False,immediate_break,3,2.0,13,True,13,raw_wick,0.0,False,21,overbought_oversold,80,20,0.1,True,1.5,fixed_rr,4.0,420,960,999,2,3143,29.34,1.248,656.18,0.2088,73.81,0.0398,1.251,1.169,5,5,1.0,8.89,9.4143,"[1.387, 1.222, 1.213, 1.169, 1.262]"
MNQ,3min,30,False,False,True,immediate_break,5,2.0,2,False,5,fractal,0.5,False,14,overbought_oversold,80,35,0.75,False,1.0,fixed_rr,2.0,420,660,3,2,1280,42.73,1.252,196.21,0.1533,30.88,0.0586,1.268,1.081,5,5,1.0,6.354,7.735,"[1.208, 1.647, 1.287, 1.115, 1.081]"
FDXM,3min,14,True,True,True,reversal_cross_back,5,1.0,2,False,5,fractal,0.1,False,7,cross_50,80,35,0.2,True,1.0,opposite_level,1.0,570,780,3,4,1946,20.66,0.711,-577.74,-0.2969,687.88,0.0755,0.711,0.58,5,1,0.2,-0.84,0.8786,"[1.035, 0.619, 0.58, 0.728, 0.592]"
6E,5min,14,True,False,False,break_of_structure,5,0.75,20,True,5,raw_wick,0.3,False,21,cross_50,75,25,1.0,True,0.5,reversal_to_open,1.25,420,750,5,1,379,61.74,5.253,416.51,1.099,7.75,0.029,6.818,2.866,5,5,1.0,53.743,17.0245,"[7.238, 2.934, 2.866, 16.051, 5.003]"
6E,5min,20,True,True,False,immediate_break,1,2.0,8,True,5,fractal,0.3,False,7,overbought_oversold,70,20,0.5,True,1.5,opposite_level,1.5,300,900,3,3,2085,52.95,3.349,2733.18,1.3109,22.37,0.0868,3.368,2.946,5,5,1.0,122.181,22.5163,"[3.349, 3.815, 3.629, 2.946, 3.099]"
6E,3min,20,False,False,True,immediate_break,2,1.0,3,True,3,fractal,0.2,False,21,overbought_oversold,70,30,0.5,True,2.0,fixed_rr,1.0,300,630,5,4,1668,58.45,0.72,-253.92,-0.1522,258.41,0.0252,0.756,0.465,5,1,0.2,-0.983,0.6901,"[0.796, 0.594, 1.027, 0.9, 0.465]"
FDXM,3min,20,False,False,True,close_beyond,3,2.0,13,True,8,fractal,0.5,False,21,cross_50,80,25,0.5,True,1.5,opposite_level,1.0,420,660,1,-1,431,44.32,1.609,180.49,0.4188,25.27,0.1137,1.707,0.982,5,4,0.8,7.142,4.7674,"[2.583, 1.166, 0.982, 2.454, 1.352]"
FDXM,3min,30,False,True,True,break_of_structure,1,2.0,2,False,3,raw_wick,0.3,True,14,cross_50,80,20,0.3,True,2.0,fixed_rr,2.5,180,630,5,4,1089,55.92,2.494,644.51,0.5918,20.13,0.3499,2.554,1.741,5,5,1.0,32.017,12.1764,"[2.412, 3.188, 2.984, 2.445, 1.741]"
