pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
8717,MGCT,5min,opposite_level,1.2356,0.796,780,2024-04-30,1.6,38,3.2,44,3.2,36,3.7,36,3.7,36,1250,3.7,36,188,2.4,96.8,22,43,124,3.2,36,38.5,71.4,43.0
13761,MGCT,3min,opposite_level,1.2245,0.829,1822,2024-04-30,9.6,51,9.0,45,9.0,29,9.6,29,10.1,29,1500,10.1,29,188,4.8,94.4,15,17,124,8.0,21,38.1,70.4,42.8
27991,MGCT,3min,opposite_level,1.215,0.79,1324,2024-04-30,8.5,51,10.1,43,8.5,46,9.0,43,9.0,36,750,10.1,43,188,18.4,80.0,29,73,125,13.4,36,39.3,10.0,24.0
20177,MGCT,5min,fixed_rr,1.2125,0.761,889,2024-04-30,10.6,52,12.2,32,11.2,25,10.1,25,11.2,28,750,12.2,32,188,13.6,81.6,31,82,125,12.8,31,11.2,22.2,29.2
2395,MGCT,5min,reversal_to_open,1.2105,0.768,848,2024-04-30,16.5,81,12.8,50,13.8,46,14.4,50,13.8,53,500,16.5,81,188,2.4,91.1,17,24,124,10.9,73,27.2,12.7,24.5
17071,MGCT,3min,opposite_level,1.1857,0.757,1042,2024-04-30,2.7,50,2.1,85,3.2,110,1.6,92,2.1,92,1000,3.2,110,188,6.4,91.2,85,171,125,4.5,87,32.9,51.8,37.2
6877,MGCT,5min,fixed_rr,1.1692,0.799,1375,2024-04-30,4.8,122,4.3,115,5.3,18,5.9,19,7.4,25,1500,7.4,25,188,2.4,97.6,10,107,125,5.4,19,32.3,21.7,29.5
4005,MGCT,5min,opposite_level,1.1593,0.771,1008,2024-04-30,10.1,68,8.5,75,7.4,81,7.4,60,8.0,59,500,10.1,68,188,14.4,81.6,116,327,125,11.8,75,35.8,16.1,26.1
10015,MGCT,5min,opposite_level,1.1518,0.867,810,2024-04-30,4.3,171,4.8,151,4.8,164,4.8,171,4.8,164,750,4.8,151,188,0.8,97.6,81,81,124,3.2,151,35.9,40.2,35.3
25087,MGCT,5min,fixed_rr,1.1511,0.754,738,2024-04-30,5.4,122,11.3,80,16.1,73,16.7,73,16.7,66,1500,16.7,66,186,21.6,72.8,29,49,125,18.6,43,25.1,51.1,37.9
8707,MGCT,5min,reversal_to_open,1.1382,0.681,950,2024-04-30,11.7,74,11.2,67,10.1,50,8.5,46,8.0,39,500,11.7,74,188,3.2,92.0,24,31,125,8.3,67,21.4,20.4,26.7
5341,MGCT,3min,opposite_level,1.1333,0.833,836,2024-04-30,10.1,64,10.6,81,11.2,59,9.6,50,9.0,45,1000,11.2,59,188,1.6,93.6,267,267,125,7.3,64,40.3,55.5,38.9
5961,MGCT,5min,opposite_level,1.1293,0.733,691,2024-04-30,3.7,86,5.9,68,11.8,57,11.8,57,13.4,54,1500,13.4,54,187,12.8,83.2,44,93,125,13.1,45,28.5,54.6,39.1
7601,MGCT,5min,fixed_rr,1.1274,0.788,828,2024-04-30,14.4,99,8.5,57,7.4,33,7.4,33,6.9,33,500,14.4,99,188,8.8,81.6,54,219,125,12.1,92,34.8,1.0,14.8
17627,MGCT,3min,fixed_rr,1.1273,0.82,716,2024-04-30,10.6,215,9.6,235,9.6,235,9.6,249,5.9,443,500,10.6,215,188,21.6,76.8,128,169,125,15.0,152,52.4,2.4,17.3
8783,MGCT,3min,opposite_level,1.0973,0.866,722,2024-04-30,2.2,51,2.7,37,0.0,,0.0,,0.0,,750,2.7,37,186,2.4,95.2,42,54,124,2.6,38,30.3,56.4,38.5
28039,MGCT,5min,fixed_rr,1.094,0.752,747,2024-04-30,0.5,58,8.5,82,9.0,80,9.6,82,11.2,78,1500,11.2,78,188,4.8,88.0,33,80,125,8.6,61,37.4,29.7,31.4
27515,MGCT,3min,opposite_level,1.0926,0.943,893,2024-04-30,19.1,103,21.3,96,17.0,72,16.0,78,17.0,73,750,21.3,96,188,8.1,91.9,44,88,124,16.0,86,26.6,5.0,18.1
7399,MGCT,5min,opposite_level,1.0812,0.735,868,2024-04-30,5.3,113,8.5,72,8.5,66,9.0,47,9.6,43,1500,9.6,43,188,11.2,82.4,99,176,125,10.2,68,39.3,64.2,41.1
16243,MGCT,5min,opposite_level,1.0764,0.745,1071,2024-04-30,6.9,75,5.9,68,4.3,68,6.9,68,5.9,52,1250,6.9,68,188,1.6,96.8,163,163,125,4.8,68,35.8,59.9,40.5
27813,MGCT,5min,opposite_level,1.0735,0.714,1377,2024-04-30,4.3,85,6.4,65,6.4,53,5.9,45,4.8,42,1000,6.4,53,188,3.2,96.0,40,94,125,5.1,45,39.0,66.7,42.0
10831,MGCT,3min,opposite_level,1.0734,0.714,1176,2024-04-30,0.0,,1.1,129,0.0,,0.0,,0.0,,750,1.1,129,188,4.0,92.8,72,106,125,2.2,72,30.7,59.7,40.5
16039,MGCT,5min,opposite_level,1.0551,0.771,768,2024-04-30,4.8,81,5.3,81,8.0,78,9.0,64,9.6,64,1500,9.6,64,188,3.2,96.0,21,31,125,7.0,57,35.1,70.6,43.4
25195,MGCT,5min,fixed_rr,1.0522,0.854,2003,2024-04-30,17.0,40,12.8,33,12.8,31,11.2,31,10.1,26,500,17.0,40,188,16.8,81.6,31,51,125,16.9,37,32.6,2.2,14.4
32057,MGCT,3min,fixed_rr,1.0486,0.819,1332,2024-04-30,10.6,52,8.0,32,8.5,38,8.5,38,9.0,36,500,10.6,52,188,16.0,80.0,39,88,125,12.8,46,36.1,3.2,18.7
