asset,entry_timeframe,atr_window,include_secondary_levels,include_session_levels,allow_level_rearm,confirmation_mode,close_beyond_lookback_bars,wick_atr_mult,reversal_lookback_bars,reversal_requires_close,bos_lookback_bars,bos_mode,bos_confirm_atr_mult,require_rsi_confirm,rsi_period,rsi_mode,rsi_ob,rsi_os,sl_atr_buffer_mult,sl_extend_to_next_level,sl_extend_check_atr_mult,tp_mode,rr,session_start_minutes,session_end_minutes,max_trades_per_day,skip_weekday,n_trades,win_rate_pct,profit_factor,total_r,expectancy_r,max_dd_r,eod_frac,avg_profit_factor,min_profit_factor,periods_evaluated,periods_passed,consistency,calmar,score,period_pfs
6J,5min,14,True,False,True,close_beyond,1,1.0,8,True,5,fractal,0.5,False,14,cross_50,70,35,1.0,False,2.0,opposite_level,2.5,300,750,999,3,2299,40.5,2.144,1840.98,0.8008,29.71,0.274,2.139,1.744,5,5,1.0,61.965,13.4997,"[2.853, 2.124, 1.766, 1.744, 2.208]"
6J,5min,14,False,False,True,close_beyond,2,0.5,1,False,30,raw_wick,0.5,False,21,overbought_oversold,75,25,0.1,True,1.0,opposite_level,2.0,180,840,5,-1,1891,21.47,0.511,-1898.32,-1.0039,1996.5,0.0428,0.503,0.405,5,0,0.0,-0.951,0.0,"[0.405, 0.669, 0.446, 0.522, 0.475]"
6J,5min,20,True,True,True,break_of_structure,1,1.0,13,False,3,fractal,0.3,False,21,overbought_oversold,80,25,0.2,False,1.0,reversal_to_open,1.25,570,780,5,-1,454,9.25,0.127,-254.39,-0.5603,253.69,0.0551,0.132,0.06,5,0,0.0,-1.003,0.0,"[0.06, 0.109, 0.299, 0.091, 0.102]"
6J,5min,14,False,True,False,reversal_cross_back,1,0.75,13,False,20,raw_wick,0.1,False,14,overbought_oversold,65,25,0.75,True,0.5,fixed_rr,2.0,420,960,2,0,1191,50.38,1.364,250.57,0.2104,16.76,0.136,1.383,1.188,5,5,1.0,14.95,8.4151,"[1.249, 1.478, 1.695, 1.303, 1.188]"
6J,3min,14,False,True,True,immediate_break,5,1.5,3,True,3,fractal,0.1,False,7,overbought_oversold,75,30,0.75,False,1.5,fixed_rr,3.0,570,630,1,-1,698,33.95,0.69,-171.48,-0.2457,178.3,0.2837,0.7,0.48,5,0,0.0,-0.962,0.0,"[0.6, 0.953, 0.649, 0.819, 0.48]"
6J,3min,20,True,False,True,immediate_break,2,0.5,1,True,30,raw_wick,0.3,True,7,overbought_oversold,75,30,0.5,False,1.5,reversal_to_open,1.5,300,840,5,-1,1289,33.2,1.076,95.94,0.0744,119.25,0.0597,1.089,0.701,5,3,0.6,0.805,3.0125,"[0.882, 1.39, 1.37, 1.101, 0.701]"
6J,5min,14,False,True,False,break_of_structure,1,0.75,5,True,3,raw_wick,0.5,False,14,overbought_oversold,75,30,0.5,True,1.0,reversal_to_open,1.5,180,630,2,2,580,63.1,4.251,635.14,1.0951,11.93,0.0034,4.607,3.307,5,5,1.0,53.239,21.0482,"[4.402, 3.307, 7.864, 3.714, 3.749]"
6J,3min,30,True,False,True,break_of_structure,5,1.5,1,True,13,fractal,0.0,False,14,cross_50,70,30,0.75,False,1.0,fixed_rr,3.0,570,900,999,0,549,38.25,0.62,-115.08,-0.2096,116.69,0.5792,0.633,0.39,5,0,0.0,-0.986,0.0,"[0.39, 0.649, 0.825, 0.839, 0.462]"
6J,3min,14,False,True,True,break_of_structure,5,0.5,1,False,20,fractal,0.5,True,14,cross_50,65,30,0.3,False,2.0,opposite_level,1.0,180,900,3,1,429,54.31,1.541,106.97,0.2493,18.94,0.2634,1.565,1.05,5,5,1.0,5.648,6.367,"[1.131, 2.642, 1.757, 1.244, 1.05]"
6J,3min,30,True,False,False,reversal_cross_back,2,0.75,20,False,20,raw_wick,0.3,False,14,cross_50,80,35,1.0,False,2.0,fixed_rr,1.5,300,840,2,-1,922,50.76,0.991,-5.09,-0.0055,36.1,0.0738,0.999,0.808,5,3,0.6,-0.141,3.31,"[1.008, 1.044, 1.18, 0.957, 0.808]"
